clock_a,clock_b,tree_root_a,tree_root_b,root_source_a,root_source_b,clock_kind_a
top_aux_clk_pad,top_scan_clk_pad,top_aux_clk_pad,top_scan_clk_pad,top/aux_clk_pad,top/scan_clk_pad,create_clock
top_aux_clk_pad,top_sys_clk_pad,top_aux_clk_pad,top_sys_clk_pad,top/aux_clk_pad,top/sys_clk_pad,create_clock
top_aux_clk_pad,v_ddr_ref,top_aux_clk_pad,v_ddr_ref,top/aux_clk_pad,virtual/v_ddr_ref,create_clock
top_aux_clk_pad,v_pcie_ref,top_aux_clk_pad,v_pcie_ref,top/aux_clk_pad,virtual/v_pcie_ref,create_clock
top_scan_clk_pad,top_sys_clk_pad,top_scan_clk_pad,top_sys_clk_pad,top/scan_clk_pad,top/sys_clk_pad,create_clock
top_scan_clk_pad,u_fab0_fab_clk_o,top_scan_clk_pad,top_sys_clk_pad,top/scan_clk_pad,u_pll/core_clk_o,create_clock
top_scan_clk_pad,u_fab1_fab_clk_o,top_scan_clk_pad,top_sys_clk_pad,top/scan_clk_pad,u_pll/core_clk_o,create_clock
top_scan_clk_pad,u_periph_clk_o,top_scan_clk_pad,top_sys_clk_pad,top/scan_clk_pad,u_pll/core_clk_o,create_clock
top_scan_clk_pad,u_pll_bus_clk_o,top_scan_clk_pad,top_sys_clk_pad,top/scan_clk_pad,u_pll/bus_clk_o,create_clock
top_scan_clk_pad,u_pll_core_clk_o,top_scan_clk_pad,top_sys_clk_pad,top/scan_clk_pad,u_pll/core_clk_o,create_clock
top_scan_clk_pad,v_ddr_ref,top_scan_clk_pad,v_ddr_ref,top/scan_clk_pad,virtual/v_ddr_ref,create_clock
top_scan_clk_pad,v_pcie_ref,top_scan_clk_pad,v_pcie_ref,top/scan_clk_pad,virtual/v_pcie_ref,create_clock
top_sys_clk_pad,v_ddr_ref,top_sys_clk_pad,v_ddr_ref,top/sys_clk_pad,virtual/v_ddr_ref,create_clock
top_sys_clk_pad,v_pcie_ref,top_sys_clk_pad,v_pcie_ref,top/sys_clk_pad,virtual/v_pcie_ref,create_clock
u_fab0_fab_clk_o,v_ddr_ref,top_sys_clk_pad,v_ddr_ref,u_pll/core_clk_o,virtual/v_ddr_ref,generated_combinational
u_fab0_fab_clk_o,v_pcie_ref,top_sys_clk_pad,v_pcie_ref,u_pll/core_clk_o,virtual/v_pcie_ref,generated_combinational
u_fab1_fab_clk_o,v_ddr_ref,top_sys_clk_pad,v_ddr_ref,u_pll/core_clk_o,virtual/v_ddr_ref,generated_combinational
u_fab1_fab_clk_o,v_pcie_ref,top_sys_clk_pad,v_pcie_ref,u_pll/core_clk_o,virtual/v_pcie_ref,generated_combinational
u_periph_clk_o,v_ddr_ref,top_sys_clk_pad,v_ddr_ref,u_pll/core_clk_o,virtual/v_ddr_ref,generated_combinational
u_periph_clk_o,v_pcie_ref,top_sys_clk_pad,v_pcie_ref,u_pll/core_clk_o,virtual/v_pcie_ref,generated_combinational
u_pll_bus_clk_o,v_ddr_ref,top_sys_clk_pad,v_ddr_ref,u_pll/bus_clk_o,virtual/v_ddr_ref,create_generated_clock
u_pll_bus_clk_o,v_pcie_ref,top_sys_clk_pad,v_pcie_ref,u_pll/bus_clk_o,virtual/v_pcie_ref,create_generated_clock
u_pll_core_clk_o,v_ddr_ref,top_sys_clk_pad,v_ddr_ref,u_pll/core_clk_o,virtual/v_ddr_ref,create_generated_clock
u_pll_core_clk_o,v_pcie_ref,top_sys_clk_pad,v_pcie_ref,u_pll/core_clk_o,virtual/v_pcie_ref,create_generated_clock
v_ddr_ref,v_pcie_ref,v_ddr_ref,v_pcie_ref,virtual/v_ddr_ref,virtual/v_pcie_ref,virtual_clock
